매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
13594,-53,-164,-0.39,-1.21,-19.84,714.60,72.89,62.71,-322,-3.87,1489,0.84,-,-,-,,,,
6123.0,566.0,709.0,9.24,11.58,11.58,56.19,156.16,1065.43,8398.0,14.17,76538.0,1.55,1000.0,0.84,11.9,,,,
3809.0,229.0,190.0,6.02,5.0,10.33,66.22,167.74,3327.03,1656.0,11.56,17159.0,1.12,200.0,1.04,11.87,,,,
62540.0,1142.0,1152.0,1.83,1.84,4.73,1205.08,,229.95,714.0,5.6,16690.0,0.24,230.0,5.75,31.11,,,,
30303.0,1014.0,657.0,3.35,2.17,10.0,130.99,62.52,3580.92,17015.0,13.28,176519.0,1.28,3000.0,1.33,17.63,,,,
4566,207,170,4.52,3.73,29.83,634.65,35.23,195.41,364,1.36,1488,0.33,-,-,-,,,,
1095.0,-65.0,5.0,-5.97,0.46,0.48,50.99,97.14,717.56,21.0,169.79,4676.0,0.75,50.0,1.43,221.43,,,,
,,,,,,,,,,,,,,,,"2,196  억원",64400000,,
13113.0,1897.0,1684.0,14.46,12.84,11.73,20.06,83.06,1080.74,6526.0,6.92,58622.0,0.77,1700.0,3.77,25.72,,,,
1558,-132,237,-8.49,15.21,4.64,21.31,107.33,9167.17,832,10.21,18597,0.46,-,-,-,,,,
361.0,6.0,6.0,1.75,1.8,1.48,26.55,161.2,267.49,11.0,188.42,734.0,2.78,5.0,0.24,46.18,,,,
8783.0,458.0,411.0,5.21,4.67,7.36,19.92,382.67,1096.86,4168.0,13.44,64595.0,0.87,1450.0,2.59,31.22,,,,
13297.0,496.0,871.0,3.73,6.55,30.57,152.65,37.35,681.88,10553.0,1.52,43195.0,0.37,150.0,0.94,1.34,,,,
2263,50,74,2.19,3.28,3.66,109.72,144.34,139.77,58,12.38,1531,0.47,-,-,-,,,,
5403.0,112.0,39.0,2.08,0.72,1.34,98.69,83.8,2283.66,143.0,35.99,12408.0,0.41,125.0,2.43,74.95,,,,
2577.0,80.0,31.0,3.09,1.22,3.06,106.18,33.54,217.92,65.0,43.26,2207.0,1.28,10.0,0.35,14.96,,,,
7233.0,161.0,67.0,2.23,0.93,0.83,35.06,107.98,6822.14,294.0,39.1,36136.0,0.32,175.0,1.52,59.28,,,,
49307.0,895.0,485.0,1.82,0.98,1.58,79.95,82.95,9736.42,7705.0,10.2,491513.0,0.16,2250.0,2.86,29.19,,,,
275,11,1,4.13,0.30,0.23,14.28,560.28,179.56,3,647.60,1388,1.43,-,-,-,,,,
1569.0,-85.0,46.0,-5.43,2.93,1.85,18.31,302.96,8152.63,760.0,10.65,41536.0,0.19,25.0,0.31,3.29,,,,
1592.0,295.0,223.0,18.55,13.98,5.04,29.32,111.04,969.89,542.0,6.01,11861.0,0.27,30.0,0.92,5.09,,,,
700,102,45,14.54,6.42,,251.41,101.69,3323.57,434,45.17,3422,5.73,-,-,-,,,,
1578.0,72.0,1.0,4.59,0.09,0.15,82.51,74.71,271.99,3.0,939.72,1951.0,1.3,10.0,0.4,353.95,,,,
2630.0,-3.0,-343.0,-0.12,-13.06,-32.05,120.51,80.27,1525.76,-2905.0,-1.37,7609.0,0.52,80.0,2.01,-2.75,,,,
1459.0,16.0,43.0,1.08,2.95,6.32,44.09,143.31,99.05,60.0,30.66,986.0,1.88,20.0,1.08,32.78,,,,
